Rif.;Tipo;Descrizione;Cod. Doganale;U.M.;Peso;Origine
1;INV_ITEM;Jalupro is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;ES
1;INV_ITEM;Jalupro HMW is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;IT
1;INV_ITEM;Jalupro Super Hydro is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;IT
1;INV_ITEM;Jalupro Young Eye is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;IT
1;INV_ITEM;Jalupro Biofiller Light is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;IT
1;INV_ITEM;Jalupro Biofiller Medium is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;IT
1;INV_ITEM;Jalupro Biofiller Deep is a medical device: injectable solution containing Sodium Hyaluronate;330499;PCS;;IT
1;INV_ITEM;Jalupro Drink is a dietary supplement containing amino acids in the form of a drink;21.06.90;PCS;;IT
1;INV_ITEM;Jalupro Glow Peel is a cosmetic: a face care product;210690;PCS;;IT
1;INV_ITEM;Jalupro Face Mask 11 pcs is a cosmetic: a biocellulose face mask;21.06.90;PCS;;FR
1;INV_ITEM;Headbands (white) are hair bands used as gadget;621710;PCS;;IT
1;INV_ITEM;Shopping bag is a paper shopping bag with logo used as a gadget;48.19.10;BOX;;IT
